BDATE,RACECHILD,SEX,SNAMEL,SNAMEF,SNAMEM,SOURCHID
20140815,02,2,ALEXANDER,VALERIS,,ADDMAPS00052
20141022,02,2,WHITEWILSON,KYLIE,CHRISTINE,ADDMAPS00053
20140313,90,1,ALLGOOD,ANGEL,,ADDMAPS00054
20141011,01,1,SIMPSON,NIGEL,LIONEL,ADDMAPS00055
20140506,02,1,WILLIAMS,JOSH,A,ADDMAPS00056
20101011,01,2,MCCLEERY,MARILYN,M,ADDMAPS00057
20100817,02,2,ALDOUS,SANDY,ANN,ADDMAPS00058
20100312,03,1,JEFFERSON,JULIO,,ADDMAPS00059
20141112,04,1,FAULTER,RAPHAEL,,ADDMAPS00060
20140716,05,2,JENKINS,LENA,B,ADDMAPS00061
20141215,06,2,LOVE,MARY,,ADDMAPS00062
20100408,99,1,ROTH,STANLEY,V,ADDMAPS00063
20140501,02,1,HODGE,JOHN,,ADDMAPS00064
20140706,03,1,WISE,THOMAS,JAY,ADDMAPS00065
20100131,01,1,RUST,EARL,,ADDMAPS00066
20100920,04,1,JONES,KEITH,,ADDMAPS00067
20100509,05,1,SIMPSON,KEVIN,L,ADDMAPS00068
20140707,06,2,LANE,JEANNE,,ADDMAPS00069
20140609,02,2,JONES,LYNNE,,ADDMAPS00070
20140825,02,2,SMITH,ELAINE,MARIE,ADDMAPS00071
20100722,01,2,CRAVEY,STACIE,A,ADDMAPS00072
20100804,04,2,JOHNSON,ELLA,,ADDMAPS00073
20140612,01,2,GUNN,CHLOE,YVETTE,ADDMAPS00074
20141014,01,2,THOMPSON,ANNIKA,,ADDMAPS00075
20141114,05,1,MYERS,JOSIAH,,ADDMAPS00076
20141223,06,2,COOPER,TRISTEN,GRACE,ADDMAPS00077
20140330,01,2,CHAPMAN,ALEX,,ADDMAPS00078
20100422,02,2,STEVENS,"NATALIE",C,ADDMAPS00079
20100915,04,2,JENKINS,SHAWNA,,ADDMAPS00144
20100322,04,1,MAKER,MARVIN,,ADDMAPS00145
20100917,01,1,ANDREWS,CHANCE,,ADDMAPS00224
20100917,01,1,ANDREWS,CHANCE,,ADDMAPS00224
20100917,01,1,ANDREWS,CHANCE,,ADDMAPS00224
20100205,02,1,BARTOLIN,MATT,,ADDMAPS00225
20100205,02,1,BARTOLIN,MATT,,ADDMAPS00225
20101205,01,2,BILLER,VALERIA,,ADDMAPS00226
20101205,01,2,BILLER,VALERIA,,ADDMAPS00226
20100205,02,1,BARTOLIN,MARK,,ADDMAPS00227
